//Stankers spawned by dsnop
383 - 2575 3484 0
//Giant bat spawned by dsnop
78 - 2578 3487 0
//Giant bat spawned by dsnop
78 - 2580 3478 0
//Giant bat spawned by dsnop
78 - 2586 3473 0
//Giant bat spawned by dsnop
78 - 2574 3471 0
//Giant bat spawned by dsnop
78 - 2570 3467 0
//Giant bat spawned by dsnop
78 - 2566 3482 0
//Mountain troll spawned by dsnop
1106 - 2772 10153 0
//Mountain troll spawned by dsnop
1110 - 2770 10144 0
//Mountain troll spawned by dsnop
1106 - 2776 10143 0
//Mountain troll spawned by dsnop
1107 - 2781 10144 0
//Mountain troll spawned by dsnop
1108 - 2783 10143 0
//Mountain troll spawned by dsnop
1109 - 2784 10136 0
//Mountain troll spawned by dsnop
1111 - 2786 10132 0
//null spawned by dsnop
2205 - 2842 10129 0
//Derni spawned by dsnop
1849 - 2870 10138 0
//Dernu spawned by dsnop
1848 - 2870 10139 0
//Miodvetnir spawned by dsnop
1847 - 2870 10140 0
//Black Guard spawned by dsnop
13366 - 2874 10118 0
//Dwarf spawned by dsnop
120 - 2871 10120 0
//Dwarf spawned by dsnop
120 - 2866 10121 0
//Dwarf spawned by dsnop
120 - 2854 10127 0
//Dwarf spawned by dsnop
120 - 2837 10149 0
//Dwarf spawned by dsnop
120 - 2831 10152 0
//Dwarven Ferryman spawned by dsnop
1844 - 2855 10143 0
//Dwarf spawned by dsnop
120 - 2871 10171 0
//Dwarf spawned by dsnop
120 - 2860 10166 0
//null spawned by dsnop
1836 - 2824 10168 0
//null spawned by dsnop
1845 - 2873 10166 0
//null spawned by dsnop
8756 - 2871 10166 0
//null spawned by dsnop
8817 - 2870 10165 0
//null spawned by dsnop
2164 - 2838 10205 0
//null spawned by dsnop
2163 - 2836 10205 0
//Stonemason spawned by dsnop
4248 - 2848 10185 0
//Barman spawned by dsnop
2179 - 2840 10197 0
//Gauss spawned by dsnop
2196 - 2838 10197 0
//null spawned by dsnop
6732 - 2836 10194 0
//null spawned by dsnop
6733 - 2835 10194 0
//null spawned by dsnop
6734 - 2837 10192 0
//null spawned by dsnop
13292 - 2835 10191 0
//null spawned by dsnop
13291 - 2834 10192 0
//Inn Keeper spawned by dsnop
2177 - 2840 10196 1
//null spawned by dsnop
2408 - 2836 10193 1
//null spawned by dsnop
2407 - 2835 10192 1
//Lava-flow miner spawned by dsnop
13407 - 2847 10193 0
//Black Guard spawned by dsnop
2133 - 2847 10201 0
//Lava-flow miner spawned by dsnop
13403 - 2847 10210 0
//Tombar spawned by dsnop
2199 - 2855 10200 0
//Rind the gardener spawned by dsnop
2170 - 2854 10196 0
//Dromund spawned by dsnop
2169 - 2837 10221 0
//Dromund's cat spawned by dsnop
2140 - 2835 10226 0
//Santiri spawned by dsnop
2152 - 2829 10228 0
//Black Guard Berserker spawned by dsnop
2134 - 2824 10219 0
//Black Guard spawned by dsnop
2131 - 2821 10213 0
//null spawned by dsnop
2153 - 2827 10199 0
//null spawned by dsnop
2129 - 2826 10217 0
//Lieutenant Brae spawned by dsnop
8749 - 2827 10216 0
//null spawned by dsnop
13365 - 2827 10213 0
//Black Guard spawned by dsnop
2132 - 2827 10211 0
//Black Guard Berserker spawned by dsnop
2135 - 2825 10209 0
//Black Guard Berserker spawned by dsnop
2136 - 2827 10213 1
//Supreme Commander spawned by dsnop
8819 - 2827 10209 1
//null spawned by dsnop
8753 - 2827 10218 0
//Haera spawned by dsnop
2189 - 2850 10223 0
//Hegir spawned by dsnop
2188 - 2852 10224 0
//Myndill spawned by dsnop
2197 - 2850 10230 0
//Librarian spawned by dsnop
2165 - 2858 10225 0
//Assistant spawned by dsnop
2166 - 2860 10227 0
//Customer spawned by dsnop
2168 - 2863 10223 0
//null spawned by dsnop
13415 - 2860 10227 0
//null spawned by dsnop
13330 - 2861 10227 0
//Customer spawned by dsnop
2167 - 2861 10224 1
//Lava-flow miner spawned by dsnop
13408 - 2866 10231 0
//Thak spawned by dsnop
8786 - 2873 10235 0
//Lava-flow miner spawned by dsnop
13406 - 2889 10232 0
//null spawned by dsnop
2231 - 2890 10226 0
//null spawned by dsnop
2231 - 2890 10224 0
//Karl spawned by dsnop
2195 - 2901 10229 0
//Ulifed spawned by dsnop
2193 - 2899 10218 0
//Kjut spawned by dsnop
2198 - 2904 10217 0
//null spawned by dsnop
2202 - 2912 10222 0
//Reinald spawned by dsnop
2194 - 2925 10225 0
//null spawned by dsnop
2142 - 2905 10205 0
//Blasidar the sculptor spawned by dsnop
2141 - 2907 10203 0
//Tati spawned by dsnop
2160 - 2924 10211 0
//Runvastr spawned by dsnop
2190 - 2921 10202 0
//Sune spawned by dsnop
2191 - 2920 10210 0
//Lava-flow miner spawned by dsnop
13404 - 2914 10202 0
//Rowdy dwarf spawned by dsnop
2187 - 2912 10199 0
//Smokin' Joe spawned by dsnop
